00021	\mathexclam	close	exclamation mark
00023	\mathoctothorpe	ordinal	number sign
00024	\mathdollar	ordinal	dollar sign
00025	\mathpercent	ordinal	percent sign
00026	\mathampersand	ordinal	ampersand
00028	\lparen	open	left parenthesis
00029	\rparen	close	right parenthesis
0002B	\mathplus	binary relation	plus sign b:
0002C	\mathcomma	punctuation	comma
0002E	\mathperiod	ordinal	full stop, period
0002F	\mathslash	ordinal	solidus
0003A	\mathcolon	punctuation	colon
0003B	\mathsemicolon	punctuation	semicolon p:
0003C	\less	relation	less-than sign r:
0003D	\equal	relation	equals sign r:
0003E	\greater	relation	greater-than sign r:
0003F	\mathquestion	ordinal	question mark
00040	\mathatsign	ordinal	commercial at
0005B	\lbrack	open	left square bracket
0005C	\backslash	ordinal	reverse solidus
0005D	\rbrack	close	right square bracket
0007B	\lbrace	open	left curly bracket
0007C	\vert	fence	vertical bar
0007D	\rbrace	close	right curly bracket
000A3	\mathsterling	ordinal	pound sign
000A5	\mathyen	ordinal	yen sign
000A7	\mathsection	ordinal	section symbol
000AC	\neg	ordinal	/neg /lnot not sign
000B1	\pm	binary relation	plus-or-minus sign
000B6	\mathparagraph	ordinal	paragraph symbol
000B7	\cdotp	binary relation	/centerdot b: middle dot
000D7	\times	binary relation	multiply sign
000F0	\matheth	letter	eth
000F7	\div	binary relation	divide sign
001B5	\Zbar	ordinal	impedance (latin capital letter z with stroke)
00300	\grave	accent	grave accent
00301	\acute	accent	acute accent
00302	\hat	accent	circumflex accent
00302	\widehat	accentwide	circumflex accent
00303	\tilde	accent	tilde
00303	\widetilde	accentwide	tilde
00304	\bar	accent	macron
00305	\overbar	accent	overbar embellishment
00305	\wideoverbar	accentwide	stretchy overbar embellishment
00306	\breve	accent	breve
00306	\widebreve	accentwide	stretchy breve
00307	\dot	accent	dot above
00308	\ddot	accent	dieresis
00309	\ovhook	accent	combining hook above
0030A	\ocirc	accent	ring
0030C	\check	accent	caron
0030C	\widecheck	accentwide	stretchy caron
00310	\candra	accent	candrabindu (non-spacing)
00312	\oturnedcomma	accent	combining turned comma above
00315	\ocommatopright	accent	combining comma above right
0031A	\droang	accent	left angle above (non-spacing)
00330	\wideutilde	bottom accent wide	under tilde accent (multiple characters and non-spacing)
00332	\mathunderbar	bottom accent wide	combining low line
